cluster_id,brandSKUId,label,normalized_name,categoryLabel,categories_parsed,primary_category
cluster_173,bf2ddf85-f070-44fc-8c86-7bbbb8567f09,"Haldiram - Snac Lite Soya Katori, Rs.5/-",snac lite soya katori,Crunchy Snack,Crunchy Snack,Crunchy Snack
cluster_174,40326e67-492b-4559-a0ef-119771345b86,"Haldiram - Tangy Kiwi, 100 Gram",tangy kiwi,Dehydrated Fruits and Vegetables,Dehydrated Fruits and Vegetables,Dehydrated Fruits and Vegetables
cluster_174,78495b9d-066a-43d3-a1ee-169e88f1992d,"Haldiram - Tangy Kiwi, 50 Gram",tangy kiwi,Dehydrated Fruits and Vegetables,Dehydrated Fruits and Vegetables,Dehydrated Fruits and Vegetables
cluster_174,ae2fffdb-a719-43b2-bc79-6a057a9f89e2,"Haldiram - Tangy Kiwi, 250 Gram",tangy kiwi,Dehydrated Fruits and Vegetables,Dehydrated Fruits and Vegetables,Dehydrated Fruits and Vegetables
cluster_175,a46a3e41-5425-4e63-b299-327836bad69e,"Haldiram - Shakar Para, 400 Gram",shakar para,Sweets/Snacks,"Sweets, Snacks",Sweets
cluster_175,d77e74da-2092-4803-bc9d-4adc9eb55600,"Haldiram - Shakkar Para, 300 Gram",shakkar para,Sweets/Snacks,"Sweets, Snacks",Sweets
cluster_176,0a5789e5-4bda-45fc-8abb-e23248155a72,"Haldiram - Chai Honey, 45 Gram",chai honey,Sweets/Snacks,"Sweets, Snacks",Sweets
cluster_176,7bcd011c-e570-4352-b2e6-986c7fc6612e,"Haldiram - Chai Pe Chaksa Combo, 520 Gram",chai pe chaksa combo,Sweets/Snacks,"Sweets, Snacks",Sweets
cluster_177,5c823915-f5b7-48c6-ad4e-c0aeb302ac71,"Haldiram - Tangy Pineapple, 50 Gram",tangy pineapple,Dehydrated Fruits and Vegetables,Dehydrated Fruits and Vegetables,Dehydrated Fruits and Vegetables
cluster_177,81c1f8fb-da58-4897-9946-fe814563128f,"Haldiram - Pineapple Masala, 300 Gram",pineapple masala,Dehydrated Fruits and Vegetables,Dehydrated Fruits and Vegetables,Dehydrated Fruits and Vegetables
cluster_177,9cee8344-a4b3-40f1-9598-8ea74e5560e9,"Haldiram - Tangy Pineapple, 250 Gram",tangy pineapple,Dehydrated Fruits and Vegetables,Dehydrated Fruits and Vegetables,Dehydrated Fruits and Vegetables
cluster_178,0954fc9b-51cb-4a41-8ffb-12e109a1de24,"Haldiram - Tangy Strawberry, 250 Gram",tangy strawberry,Dehydrated Fruits and Vegetables,Dehydrated Fruits and Vegetables,Dehydrated Fruits and Vegetables
cluster_178,49637109-08e3-4587-8b3e-33c7637ad58f,"Haldiram - Tangy Strawberry, 50 Gram",tangy strawberry,Dehydrated Fruits and Vegetables,Dehydrated Fruits and Vegetables,Dehydrated Fruits and Vegetables
cluster_178,7ed32b15-a2c6-4ba7-901a-7f9ed50bf5cc,"Haldiram - Tangy Strawberry, 100 Gram",tangy strawberry,Dehydrated Fruits and Vegetables,Dehydrated Fruits and Vegetables,Dehydrated Fruits and Vegetables
cluster_178,8ff92d11-4348-41c4-b449-e6729700d17c,"Haldiram - Tangy Mango, 250 Gram",tangy mango,Dehydrated Fruits and Vegetables,Dehydrated Fruits and Vegetables,Dehydrated Fruits and Vegetables
cluster_179,621e8017-41fc-4cde-a1eb-6a9cdc03089f,"Haldiram - Gud Para, 400 Gram",gud para,Sweets/Snacks,"Sweets, Snacks",Sweets
cluster_179,aa668ea7-ce5c-4d1d-8d96-324d2096097d,"Haldiram - Gur Para, 300 Gram",gur para,Sweets/Snacks,"Sweets, Snacks",Sweets
cluster_180,1d699730-b8d3-4205-88b3-528a8a3afaf4,HEENG JEERA 200GM,heeng jeera,Crunchy Snack,Crunchy Snack,Crunchy Snack
cluster_180,1df9a6d7-0af2-4943-9a29-0e85c342eae5,HEENG JEERA MATAR 20 GM,heeng jeera matar,Crunchy Snack,Crunchy Snack,Crunchy Snack
cluster_180,46afbc14-fda7-421e-98ca-ff5bced55547,"Haldiram - Heeng Jeera Matar, Rs.5/-",heeng jeera matar,Crunchy Snack,Crunchy Snack,Crunchy Snack
cluster_180,c44d5ae2-e88c-412c-b403-2a7fb0794008,"Haldiram - Heeng Jeera Matar, Rs.10/-",heeng jeera matar,Crunchy Snack,Crunchy Snack,Crunchy Snack
cluster_181,7e4c8e53-4515-427d-9c3c-8e5afeebeb56,"Haldiram - Chana Jor Garam, 20 Gram",chana jor garam,Crunchy Snack,Crunchy Snack,Crunchy Snack
cluster_181,84688e46-d9e8-491d-91c7-f53c5231e13c,"Haldiram - Chana Jor Garam, 150 Gram",chana jor garam,Crunchy Snack,Crunchy Snack,Crunchy Snack
