cluster_id,brandSKUId,label,normalized_name,categoryLabel,categories_parsed,primary_category
no_sisters,5117f191-7a1a-445f-a29a-689fe7bd3b91,Cornitos Taco Dinner Kit 100 Grams,taco dinner kit rams,Sweets/Snacks,"Sweets, Snacks",Sweets
no_sisters,558d17b9-758d-4000-b002-a7ad336d8b55,Cornitos Roasted Almond Salted And Wasabi Peas 350 Grams,roasted almond salted and wasabi peas,Dry Fruits/Seeds,"Dry Fruits, Seeds",Dry Fruits
no_sisters,5a1e24f8-1128-41dc-82a7-b4f9fe1a4951,CORNITOS Peri Nachos Retail Can BAKED AND FRIED CORN CHIPS Cans 50 Grams,peri nachos retail baked and fried chips cans rams,Sweets/Snacks,"Sweets, Snacks",Sweets
no_sisters,5b065e22-a1af-4b28-aba4-d9950b3c5246,CORNITOS Sour Cream And Chives Nacho Crisps Baked Fried Corn Chips 150 Grams,sour cream and chives nacho crisps baked fried chips rams,Sweets/Snacks,"Sweets, Snacks",Sweets
no_sisters,5d589617-70fc-45af-8e74-94f787131bd4,Cornitos Fusion Pack 620 Grams,fusion rams,Sweets/Snacks,"Sweets, Snacks",Sweets
no_sisters,628c46d0-b852-4f2b-9e8b-4f54a64f7705,CORNITOS Lebanese Almonds 200 Grams,lebanese almonds,Dry Fruits/Seeds,"Dry Fruits, Seeds",Dry Fruits
no_sisters,664c3b87-5e64-426f-b9d3-d33df906d6f7,Cornitos Spinach Garlic Taco Shell 80 Grams,spinach garlic taco shell rams,Sweets/Snacks,"Sweets, Snacks",Sweets
no_sisters,7133e45e-79a4-4e24-aebb-ba0e5824e374,CORNITOS Roasted Cashews Crack Pepper X 12 Cashew 2400 Grams,roasted cashews crack pepper x cashew,Sweets/Snacks,"Sweets, Snacks",Sweets
no_sisters,73045cab-630e-4880-b056-9292f4df0582,Cornitos Natural Cashew 200 Grams,natural cashew,Dry Fruits/Seeds,"Dry Fruits, Seeds",Dry Fruits
no_sisters,73f2e325-f1b0-4f7a-a1bd-840efe3e2b20,CORNITOS Avocado Pulp Tub 225 Grams,avocado pulp tub,Dressings/Dips,"Dressings, Dips",Dressings
no_sisters,760059f2-f3f7-4c46-b899-bb4cfef21c63,Cornitos Roasted Almonds Dark Chocolate 200 Grams,roasted almonds dark chocolate,Dry Fruits/Seeds,"Dry Fruits, Seeds",Dry Fruits
no_sisters,7b9e3ac2-cff5-4f60-b059-56e3c036d72b,Cornitos Corn Nut Spicy Tomato 30 Grams,nut spicy tomato,Dry Fruits/Seeds,"Dry Fruits, Seeds",Dry Fruits
no_sisters,7fb23762-9b7f-412a-a860-fd531e4e3afc,Cornitos Nachos Institutional Pack 50 Grams,nachos institutional,Sweets/Snacks,"Sweets, Snacks",Sweets
no_sisters,8834e30e-c7e1-452e-8162-4948f323b87b,Cornitos Corn Nut Chile Picante 30 Grams,nut chile picante,Dry Fruits/Seeds,"Dry Fruits, Seeds",Dry Fruits
no_sisters,8964997f-bfe1-40b1-bee6-013041a180d9,CORNITOS SPINACH Nachos BAKED AND FRIED CORN CHIPS 200 Grams,spinach nachos baked and fried chips rams,Sweets/Snacks,"Sweets, Snacks",Sweets
